Country,Date,AP Adj,Cost,Cash Flow
CHINA,42005,-1.928568178,-1.560776807,
CHINA,42036,-1.304241827,-1.842700013,0.624326351
CHINA,42064,-1.178582547,-1.485769099,0.12565928
CHINA,42095,-1.821422828,-1.462226943,-0.642840281
CHINA,42125,-1.885067335,-1.324414006,-0.063644507
CHINA,42156,-1.669146901,-1.315259345,0.215920434
CHINA,42186,-1.66129872,0.583307436,0.007848181
CHINA,42217,-0.835995296,-0.062628378,0.825303424
CHINA,42248,-0.879983998,-0.935850771,-0.043988702
CHINA,42278,-1.034897196,-1.123638966,-0.154913199
CHINA,42309,-0.984576921,-1.025010665,0.050320275
CHINA,42339,-0.660157149,-0.176282873,0.324419772
CHINA,42370,-0.553559758,-0.218616174,0.106597391
CHINA,42401,-0.490685928,-0.216229463,0.06287383
CHINA,42430,-0.346275858,-0.412477596,0.14441007
CHINA,42461,-0.431361455,0.066175566,-0.085085597
CHINA,42491,-0.886594853,0.491884088,-0.455233398
CHINA,42522,-1.066961612,0.082120587,-0.180366759
CHINA,42552,-0.814405727,0.089426387,0.252555886
CHINA,42583,-0.58026832,0.881366151,0.234137406
CHINA,42614,-0.438552086,0.830259166,0.141716234
CHINA,42644,-0.401842395,0.48937412,0.036709691
CHINA,42675,-0.268720273,0.757828657,0.133122123
CHINA,42705,-0.159623483,3.386280722,0.109096789
CHINA,42736,-0.608051589,-0.960681527,-0.448428106
CHINA,42767,-1.026331366,-0.470699892,-0.418279777
CHINA,42795,-0.365196338,0.517319926,0.661135028
CHINA,42826,0.50941629,0.018799918,0.874612628
CHINA,42856,0.491655361,-0.584455233,-0.017760929
CHINA,42887,0.332722621,-1.854992133,-0.15893274
CHINA,42917,0.515044355,0.859213441,0.182321734
CHINA,42948,0.849214255,0.3829694,0.3341699
CHINA,42979,0.622104859,1.040502612,-0.227109395
CHINA,43009,0.705433454,-0.132974717,0.083328594
CHINA,43040,0.712090267,0.557333748,0.006656813
CHINA,43070,1.621337413,3.107539798,0.909247146
CHINA,43101,1.459078122,-0.621119178,-0.162259292
CHINA,43132,1.075454074,0.408236678,-0.383624047
CHINA,43160,0.804023666,-0.196575998,-0.271430408
CHINA,43191,0.91547491,-0.402785567,0.111451244
CHINA,43221,1.202965808,1.034664213,0.287490898
CHINA,43252,2.066541489,1.066251714,0.863575681
CHINA,43282,1.680711466,0.194329126,-0.385830023
CHINA,43313,0.623893767,0.588954383,-1.0568177
CHINA,43344,0.496951203,-0.625881394,-0.126942564
CHINA,43374,0.533257879,0.918634213,0.036306676
CHINA,43405,0.340227973,0.038330125,-0.193029906
CHINA,43435,0.759175907,1.09005159,0.418947933
CHINA,43466,0.804989757,-0.450001529,0.04581385
CHINA,43497,0.709510622,0.001635861,-0.095479134
CHINA,43525,0.654767791,-0.103558696,-0.054742832
CHINA,43556,1.176371349,0.060564085,0.521603558
CHINA,43586,0.969062702,-0.287727607,-0.207308646
CHINA,43617,1.163538512,0.49841906,0.194475809
CHINA,43647,0.487354066,-0.188438199,-0.676184446
Germany,42005,-1.876235481,-0.498982146,-2.363589547
Germany,42036,-1.476703808,-1.02061366,0.399531673
Germany,42064,-1.142505994,-0.510915709,0.334197814
Germany,42095,-0.929733661,-1.135954792,0.212772333
Germany,42125,-0.740267835,-0.543670593,0.189465826
Germany,42156,-0.853006561,-0.885799351,-0.112738726
Germany,42186,-0.758657756,-0.441810893,0.094348805
